"MS.Zoning","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Cars","Garage.Area","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
"RL",31770,"Pave","NP","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","BrkFace","Stone",112,"TA","TA","CBlock","TA",1080,"GasA","Fa","Y","SBrkr",1656,1,0,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd",2,528,"P",210,62,0,0,0,0,"NP","NP","NP",0,5,2010,"WD ","Normal",215000
"RH",11622,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,6,1961,1961,"Gable","CompShg","VinylSd","None",0,"TA","TA","CBlock","TA",882,"GasA","TA","Y","SBrkr",896,0,0,1,0,2,1,"TA",5,"Typ",0,"NP","Attchd",1,730,"Y",140,0,0,0,120,0,"NP","MnPrv","NP",0,6,2010,"WD ","Normal",105000
"RL",14267,"Pave","NP","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Hip","CompShg","Wd Sdng","BrkFace",108,"TA","TA","CBlock","TA",1329,"GasA","TA","Y","SBrkr",1329,0,0,1,1,3,1,"Gd",6,"Typ",0,"NP","Attchd",1,312,"Y",393,36,0,0,0,0,"NP","NP","Gar2",12500,6,2010,"WD ","Normal",172000
"RL",11160,"Pave","NP","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,1968,1968,"Hip","CompShg","BrkFace","None",0,"Gd","TA","CBlock","TA",2110,"GasA","Ex","Y","SBrkr",2110,1,0,2,1,3,1,"Ex",8,"Typ",2,"TA","Attchd",2,522,"Y",0,0,0,0,0,0,"NP","NP","NP",0,4,2010,"WD ","Normal",244000
"RL",13830,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",5,5,1997,1998,"Gable","CompShg","VinylSd","None",0,"TA","TA","PConc","Gd",928,"GasA","Gd","Y","SBrkr",1629,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",2,482,"Y",212,34,0,0,0,0,"NP","MnPrv","NP",0,3,2010,"WD ","Normal",189900
"RL",9978,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,6,1998,1998,"Gable","CompShg","VinylSd","BrkFace",20,"TA","TA","PConc","TA",926,"GasA","Ex","Y","SBrkr",1604,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2,470,"Y",360,36,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",195500
"RL",4920,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,2001,2001,"Gable","CompShg","CemntBd","None",0,"Gd","TA","PConc","Gd",1338,"GasA","Ex","Y","SBrkr",1338,1,0,2,0,2,1,"Gd",6,"Typ",0,"NP","Attchd",2,582,"Y",0,0,170,0,0,0,"NP","NP","NP",0,4,2010,"WD ","Normal",213500
"RL",5005,"Pave","NP","IR1","HLS","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1992,1992,"Gable","CompShg","HdBoard","None",0,"Gd","TA","PConc","Gd",1280,"GasA","Ex","Y","SBrkr",1280,0,0,2,0,2,1,"Gd",5,"Typ",0,"NP","Attchd",2,506,"Y",0,82,0,0,144,0,"NP","NP","NP",0,1,2010,"WD ","Normal",191500
"RL",5389,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1995,1996,"Gable","CompShg","CemntBd","None",0,"Gd","TA","PConc","Gd",1595,"GasA","Ex","Y","SBrkr",1616,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd",2,608,"Y",237,152,0,0,0,0,"NP","NP","NP",0,3,2010,"WD ","Normal",236500
"RL",7500,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","None",0,"TA","TA","PConc","TA",994,"GasA","Gd","Y","SBrkr",1804,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",2,442,"Y",140,60,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",189000
"RL",10000,"Pave","NP","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg","HdBoard","None",0,"TA","TA","PConc","Gd",763,"GasA","Gd","Y","SBrkr",1655,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2,440,"Y",157,84,0,0,0,0,"NP","NP","NP",0,4,2010,"WD ","Normal",175900
"RL",7980,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,7,1992,2007,"Gable","CompShg","HdBoard","None",0,"TA","Gd","PConc","Gd",1168,"GasA","Ex","Y","SBrkr",1187,1,0,2,0,3,1,"TA",6,"Typ",0,"NP","Attchd",2,420,"Y",483,21,0,0,0,0,"NP","GdPrv","Shed",500,3,2010,"WD ","Normal",185000
"RL",8402,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","None",0,"TA","TA","PConc","Gd",789,"GasA","Gd","Y","SBrkr",1465,0,0,2,1,3,1,"TA",7,"Typ",1,"Gd","Attchd",2,393,"Y",0,75,0,0,0,0,"NP","NP","NP",0,5,2010,"WD ","Normal",180400
"RL",10176,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","None",0,"TA","TA","PConc","Gd",1300,"GasA","Gd","Y","SBrkr",1341,1,0,1,1,2,1,"Gd",5,"Typ",1,"Po","Attchd",2,506,"Y",192,0,0,0,0,0,"NP","NP","NP",0,2,2010,"WD ","Normal",171500
"RL",6820,"Pave","NP","IR1","Lvl","AllPub","Corner","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1985,1985,"Gable","CompShg","HdBoard","None",0,"Gd","TA","PConc","Gd",1488,"GasA","TA","Y","SBrkr",1502,1,0,1,1,1,1,"Gd",4,"Typ",0,"NP","Attchd",2,528,"Y",0,54,0,0,140,0,"NP","NP","NP",0,6,2010,"WD ","Normal",212000
"RL",53504,"Pave","NP","IR2","HLS","AllPub","CulDSac","Mod","StoneBr","Norm","Norm","1Fam","2Story",8,5,2003,2003,"Hip","CompShg","CemntBd","BrkFace",603,"Ex","TA","PConc","Gd",1650,"GasA","Ex","Y","SBrkr",3279,1,0,3,1,4,1,"Ex",12,"Mod",1,"Gd","BuiltIn",3,841,"Y",503,36,0,0,210,0,"NP","NP","NP",0,6,2010,"WD ","Normal",538000
"RL",12134,"Pave","NP","IR1","Bnk","AllPub","Inside","Mod","Gilbert","Norm","Norm","1Fam","1.5Fin",8,7,1988,2005,"Gable","CompShg","Wd Sdng","None",0,"Gd","TA","Wood","Gd",559,"GasA","Gd","Y","SBrkr",1752,0,0,2,0,4,1,"TA",8,"Typ",0,"NP","Basment",2,492,"Y",325,12,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",164000
"RL",11394,"Pave","NP","Reg","Lvl","AllPub","Corner","Gtl","StoneBr","Norm","Norm","1Fam","1Story",9,2,2010,2010,"Hip","CompShg","VinylSd","Stone",350,"Gd","TA","PConc","Ex",1856,"GasA","Ex","Y","SBrkr",1856,1,0,1,1,1,1,"Ex",8,"Typ",1,"Ex","Attchd",3,834,"Y",113,0,0,0,0,0,"NP","NP","NP",0,6,2010,"New","Partial",394432
"RL",19138,"Pave","NP","Reg","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",4,5,1951,1951,"Gable","CompShg","VinylSd","None",0,"TA","TA","CBlock","TA",864,"GasA","Ex","Y","SBrkr",864,0,0,1,0,2,1,"TA",4,"Typ",0,"NP","Detchd",2,400,"Y",0,0,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",141000
"RL",13175,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1978,1988,"Gable","CompShg","Plywood","Stone",119,"TA","TA","CBlock","Gd",1542,"GasA","TA","Y","SBrkr",2073,1,0,2,0,3,1,"TA",7,"Min1",2,"TA","Attchd",2,500,"Y",349,0,0,0,0,0,"NP","MnPrv","NP",0,2,2010,"WD ","Normal",210000
"RL",11751,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1977,1977,"Hip","CompShg","Plywood","BrkFace",480,"TA","TA","CBlock","Gd",1844,"GasA","Ex","Y","SBrkr",1844,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd",2,546,"Y",0,122,0,0,0,0,"NP","MnPrv","NP",0,1,2010,"COD","Normal",190000
"RL",10625,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","SFoyer",7,6,1974,1974,"Gable","CompShg","Plywood","BrkFace",81,"TA","TA","CBlock","Gd",1053,"GasA","TA","Y","SBrkr",1173,1,0,2,0,3,1,"Gd",6,"Typ",2,"TA","Attchd",2,528,"Y",0,120,0,0,0,0,"NP","MnPrv","NP",0,1,2010,"WD ","Family",170000
"FV",7500,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2000,2000,"Gable","CompShg","VinylSd","None",0,"Gd","TA","PConc","Gd",814,"GasA","Ex","Y","SBrkr",1674,1,0,2,1,3,1,"Gd",7,"Typ",0,"NP","Attchd",2,663,"Y",0,96,0,0,0,0,"NP","NP","NP",0,1,2010,"WD ","Normal",216000
